,,Skill / Job Role(Historical trends & salary statistics),Rank6 Months to3 Mar 2019,RankChangeYear-on-Year,Median Salary6 Months to3 Mar 2019,Median Salary% ChangeYear-on-Year,HistoricalPermanentJob Ads,LiveJobVacancies
7558,NA,PeopleSoft HRMS Consultant,"1,103",83,"£80,000",100.00%,4 (0.003%),NA
7559,NA,GIS Project Manager,"1,103",81,"£55,000",-24.13%,4 (0.003%),NA
7560,NA,SAP HR Specialist,"1,103",83,"£45,000",-,4 (0.003%),1
7561,NA,SAP WM Business Analyst,"1,103",78,"£52,500",-,4 (0.003%),NA
7562,NA,Senior SAP PS Consultant,"1,103",-,"£63,750",-,4 (0.003%),NA
7563,NA,Web UI/UX Designer,"1,103",65,"£43,750",9.37%,4 (0.003%),5
7564,NA,Senior NoSQL Engineer,"1,103",84,"£55,000",-26.66%,4 (0.003%),1
7565,NA,Senior Xamarin Developer,"1,103",82,"£50,000",-,4 (0.003%),NA
7566,NA,E-Commerce Test Analyst,"1,103",65,"£42,500",21.42%,4 (0.003%),NA
7567,NA,ASIC Engineer,"1,103",67,"£43,750",-16.66%,4 (0.003%),17
7568,NA,Senior Hyper-V Engineer,"1,103",72,"£57,500",9.52%,4 (0.003%),2
7569,NA,Hyper-V Administrator,"1,103",77,"£37,500",25.00%,4 (0.003%),1
7570,NA,VBA Programmer,"1,103",84,"£32,250",-5.14%,4 (0.003%),NA
7571,NA,Analogue IC Engineer,"1,103",81,"£53,750",-14.00%,4 (0.003%),9
7572,NA,Digital User Researcher,"1,103",82,"£47,500",-17.39%,4 (0.003%),2
7573,NA,SC Cleared Software Engineer,"1,103",75,"£50,000",39.86%,4 (0.003%),NA
7574,NA,ITIL Service Management Specialist,"1,103",-,"£32,000",-,4 (0.003%),NA
7575,NA,WAN Specialist,"1,103",75,"£56,500",-5.83%,4 (0.003%),NA
7576,NA,Senior Product Marketing Manager,"1,103",79,"£83,750",4.68%,4 (0.003%),2
7577,NA,IoT Architect,"1,103",74,"£80,000",-,4 (0.003%),5
7578,NA,Deskside Specialist,"1,103",-,"£32,500",-,4 (0.003%),NA
7579,NA,Senior TM1 Developer,"1,103",80,"£62,200",13.09%,4 (0.003%),NA
7580,NA,Technical Operations Director,"1,103",-,-,-,4 (0.003%),NA
7581,NA,Graduate PMO,"1,103",80,"£25,000",19.04%,4 (0.003%),NA
7582,NA,Infrastructure Portfolio Manager,"1,103",83,"£50,000",-47.36%,4 (0.003%),NA
7583,NA,Head of Programme Management,"1,103",83,"£105,000",-4.54%,4 (0.003%),NA
7584,NA,Head of Application Development,"1,103",76,"£117,500",56.66%,4 (0.003%),NA
7585,NA,Head of Management Information,"1,103",80,"£58,750",-26.56%,4 (0.003%),1
7586,NA,Head of Vendor Management,"1,103",80,"£90,000",-28.00%,4 (0.003%),1
7587,NA,Wireless Product Manager,"1,103",83,"£60,000",11.62%,4 (0.003%),1
7588,NA,Video Editor,"1,103",78,"£31,500",43.18%,4 (0.003%),NA
7589,NA,UAT Test Lead,"1,103",75,"£34,000",-32.00%,4 (0.003%),NA
7590,NA,Senior Applications Packager,"1,103",-,"£50,000",-,4 (0.003%),NA
7591,NA,Senior Packager,"1,103",-,"£50,000",-,4 (0.003%),NA
7592,NA,Operations Technician,"1,103",73,"£40,000",33.33%,4 (0.003%),1
7593,NA,Vulnerability Consultant,"1,103",80,"£70,000",3.70%,4 (0.003%),NA
7594,NA,Vulnerability Researcher,"1,103",82,-,-,4 (0.003%),NA
7595,NA,IronPort Consultant,"1,103",-,"£47,500",-,4 (0.003%),NA
7596,NA,SAP Master Data Analyst,"1,103",61,"£41,500",38.33%,4 (0.003%),NA
7597,NA,Manufacturing Engineer,"1,103",71,"£47,500",46.15%,4 (0.003%),33
7598,NA,Head of Information Assurance,"1,103",80,"£102,500",64.00%,4 (0.003%),NA
7599,NA,UML Analyst,"1,103",61,"£43,750",-23.91%,4 (0.003%),NA
7600,NA,CISSP Specialist,"1,103",70,"£62,500",-0.79%,4 (0.003%),NA
7601,NA,Oracle HRMS Functional Consultant,"1,103",78,"£62,500",-3.84%,4 (0.003%),1
7602,NA,SystmOne Analyst,"1,103",83,"£27,500",-4.34%,4 (0.003%),NA
7603,NA,C/C++ Firmware Engineer,"1,103",59,"£52,500",-8.69%,4 (0.003%),2
7604,NA,CRM Executive,"1,103",9,"£40,000",33.33%,4 (0.003%),3
7605,NA,Technical Support Executive,"1,103",73,"£30,250",-8.33%,4 (0.003%),NA
7606,NA,Public Sector Business Analyst,"1,103",75,"£56,250",19.68%,4 (0.003%),1
7607,NA,Public Sector Programme Manager,"1,103",76,"£70,000",25.00%,4 (0.003%),1
7608,NA,Telecoms Account Manager,"1,103",82,"£50,000",33.33%,4 (0.003%),NA
7609,NA,FMCG Project Manager,"1,103",-,"£72,500",-,4 (0.003%),2
7610,NA,Oracle HRMS Payroll Consultant,"1,103",70,"£45,250",-17.72%,4 (0.003%),1
7611,NA,XML Specialist,"1,103",82,"£32,500",1.32%,4 (0.003%),NA
7612,NA,SOX Consultant,"1,103",-,"£45,000",-,4 (0.003%),1
7613,NA,Commodities Java Developer,"1,103",79,"£130,000",73.33%,4 (0.003%),NA
7614,NA,Junior Project Administrator,"1,103",81,"£28,500",14.00%,4 (0.003%),NA
7615,NA,Senior Banking Business Analyst,"1,103",70,"£72,500",7.40%,4 (0.003%),NA
7616,NA,Senior Manual Tester,"1,103",78,"£40,000",-9.09%,4 (0.003%),3
7617,NA,Mainframe Support,"1,103",76,"£90,000",-10.00%,4 (0.003%),NA
7618,NA,Resilience Manager,"1,103",71,"£85,000",3.03%,4 (0.003%),NA
7619,NA,Java Quantitative Developer,"1,103",52,"£95,000",-11.62%,4 (0.003%),1
7620,NA,Commercial Lawyer,"1,103",84,"£71,250",-,4 (0.003%),1
7621,NA,QC Engineer,"1,103",-,"£21,500",-,4 (0.003%),1
7622,NA,JDE Project Manager,"1,103",84,"£77,500",29.16%,4 (0.003%),NA
7623,NA,Head of Digital Transformation,"1,103",69,"£82,500",-26.66%,4 (0.003%),1
7624,NA,Principal Security Architect,"1,103",63,"£85,000",-5.55%,4 (0.003%),1
7625,NA,Principal Business Intelligence Consultant,"1,103",83,"£78,750",-17.10%,4 (0.003%),NA
7626,NA,Principal Technical Consultant,"1,103",73,"£100,000",29.03%,4 (0.003%),NA
7627,NA,SAP GRC Manager,"1,103",74,"£75,000",-1.63%,4 (0.003%),NA
7628,NA,SAP Logistics Support,"1,103",77,"£38,400",-,4 (0.003%),6
7629,NA,Documentation Author,"1,103",82,"£37,000",21.31%,4 (0.003%),NA
7630,NA,E-Marketing Coordinator,"1,103",-,"£45,000",-,4 (0.003%),NA
7631,NA,E-Commerce Tester,"1,103",81,"£60,000",33.33%,4 (0.003%),2
7632,NA,E-Disclosure Manager,"1,103",83,"£60,000",-,4 (0.003%),1
7633,NA,XAML Developer,"1,103",72,"£45,000",-,4 (0.003%),1
7634,NA,Java Project Leader,"1,103",82,"£60,000",-45.45%,4 (0.003%),NA
7635,NA,Implementation Coordinator,"1,103",82,"£35,000",-,4 (0.003%),2
7636,NA,Case Management Team Leader,"1,103",-,"£40,349",-,4 (0.003%),1
7637,NA,Graduate Web Designer,"1,103",80,"£30,000",9.09%,4 (0.003%),NA
7638,NA,Graduate Business Intelligence Developer,"1,103",71,"£27,500",-1.78%,4 (0.003%),NA
7639,NA,Graduate Test Consultant,"1,103",81,"£23,000",-,4 (0.003%),NA
7640,NA,Graduate Technical Engineer,"1,103",79,"£29,750",27.95%,4 (0.003%),2
7641,NA,Facilities Coordinator,"1,103",-,"£32,500",-,4 (0.003%),NA
7642,NA,Junior Electronics Engineer,"1,103",82,"£32,000",-8.57%,4 (0.003%),7
7643,NA,Trainee Support Engineer,"1,103",81,"£26,250",40.00%,4 (0.003%),1
7644,NA,Trainee Desktop Support,"1,103",78,"£20,000",-20.00%,4 (0.003%),NA
7645,NA,Actuarial Analyst,"1,103",76,"£35,000",-33.33%,4 (0.003%),6
7646,NA,SAP EWM Developer,"1,103",83,"£60,000",-,4 (0.003%),NA
7647,NA,ICT Infrastructure Manager,"1,103",81,"£47,500",18.95%,4 (0.003%),2
7648,NA,Oracle Supply Chain Functional Analyst,"1,103",84,"£57,500",-16.05%,4 (0.003%),1
7649,NA,SAP Supply Chain Analyst,"1,103",83,"£27,500",-50.00%,4 (0.003%),NA
7650,NA,Dynamics AX Specialist,"1,103",68,"£55,000",18.91%,4 (0.003%),12
7651,NA,EMV Expert,"1,103",80,"£95,000",5.55%,4 (0.003%),NA
7652,NA,Broadcast Project Manager,"1,103",84,"£58,750",-5.24%,4 (0.003%),NA
7653,NA,Marketing Automation Manager,"1,103",63,"£45,000",-10.00%,4 (0.003%),8
7654,NA,Electronic Trading Project Manager,"1,103",84,"£120,000",-,4 (0.003%),NA
7655,NA,Digital Communications Manager,"1,103",64,"£38,500",13.23%,4 (0.003%),1
7656,NA,Quantitative Modeller,"1,103",78,"£60,000",53.84%,4 (0.003%),1
7657,NA,Quantitative Risk Manager,"1,103",71,"£110,000",57.14%,4 (0.003%),NA
7658,NA,Salesforce Executive,"1,103",72,"£65,000",-13.33%,4 (0.003%),5
7659,NA,Salesforce Configurator,"1,103",-,"£70,000",-,4 (0.003%),NA
7660,NA,Enterprise Management Architect,"1,103",76,-,-,4 (0.003%),NA
7661,NA,Programme Change Manager,"1,103",67,"£83,500",28.46%,4 (0.003%),1
7662,NA,Senior Automation Analyst,"1,103",78,"£50,000",-4.76%,4 (0.003%),2
7663,NA,Technical Support Assistant,"1,103",84,"£19,000",-,4 (0.003%),NA
7664,NA,UX Strategist,"1,103",83,"£62,500",7.75%,4 (0.003%),NA
7665,NA,Senior Business Change Manager,"1,103",57,"£76,000",32.17%,4 (0.003%),NA
7666,NA,Senior PCB Engineer,"1,103",82,"£45,000",-18.18%,4 (0.003%),2
7667,NA,Senior Support Manager,"1,103",72,"£45,000",12.50%,4 (0.003%),NA
7668,NA,Business Analytics Manager,"1,103",-,-,-,4 (0.003%),NA
7669,NA,KDB Developer,"1,103",55,"£121,250",-11.81%,4 (0.003%),1
7670,NA,Cassandra DBA,"1,103",83,"£55,000",-,4 (0.003%),NA
7671,NA,New Business Development Manager,"1,103",67,"£105,000",133.33%,4 (0.003%),NA
7672,NA,Project Manager - SAP S/4HANA,"1,103",80,"£80,000",23.07%,4 (0.003%),2
7673,NA,Stakeholder Engagement Manager,"1,103",-,"£58,000",-,4 (0.003%),NA
7674,NA,BPM Developer,"1,103",73,"£67,500",58.82%,4 (0.003%),5
7675,NA,Junior Payments Consultant,"1,103",-,"£35,000",-,4 (0.003%),NA
7676,NA,Lead Electronics Engineer,"1,103",79,-,-,4 (0.003%),1
7677,NA,C++ Mathematical Developer,"1,103",-,"£68,750",-,4 (0.003%),NA
7678,NA,Mathematical Developer - C#,"1,103",78,"£50,000",-9.09%,4 (0.003%),NA
7679,NA,Global Services Delivery Manager,"1,103",76,"£70,000",27.27%,4 (0.003%),NA
7680,NA,Salesperson,"1,103",-,"£55,000",-,4 (0.003%),NA
7681,NA,Sales and Marketing Manager,"1,103",77,-,-,4 (0.003%),1
7682,NA,EMEA Technical Support,"1,103",-,"£39,000",-,4 (0.003%),NA
7683,NA,Data Management Specialist,"1,103",82,"£47,500",-13.63%,4 (0.003%),3
7684,NA,Cyber Intelligence Manager,"1,103",-,"£60,000",-,4 (0.003%),NA
7685,NA,Ethereum Developer,"1,103",72,"£80,000",60.00%,4 (0.003%),NA
7686,NA,Microsoft Infrastructure Architect,"1,103",78,"£59,375",-8.65%,4 (0.003%),NA
7687,NA,Service Transition Leader,"1,103",82,"£39,000",-22.18%,4 (0.003%),NA
7688,NA,Haskell Developer,"1,103",53,-,-,4 (0.003%),1
7689,NA,Server Build Engineer,"1,103",84,"£26,500",-51.81%,4 (0.003%),NA
7690,NA,Fibre Planner,"1,103",83,"£36,000",12.50%,4 (0.003%),NA
7691,NA,Tivoli Configuration Manager,"1,103",80,"£50,000",1.01%,4 (0.003%),NA
7692,NA,Tivoli Monitoring,"1,103",65,"£50,000",1.01%,4 (0.003%),1
7693,NA,CA Wily,"1,103",59,"£100,000",100.00%,4 (0.003%),1
7694,NA,Oracle Flashback,"1,103",81,"£42,000",-7.94%,4 (0.003%),1
7695,NA,ThinApp,"1,103",82,"£68,000",4.61%,4 (0.003%),1
7696,NA,Simpana,"1,103",52,"£91,250",69.83%,4 (0.003%),2
7697,NA,Cisco CME,"1,103",68,"£40,000",-30.43%,4 (0.003%),2
7698,NA,confd,"1,103",-,-,-,4 (0.003%),NA
7699,NA,Greek Language,"1,103",-,"£30,000",-,4 (0.003%),1
7700,NA,Turkish Language,"1,103",77,"£42,500",30.76%,4 (0.003%),3
7701,NA,iGaming,"1,103",72,"£51,250",-6.81%,4 (0.003%),4
7702,NA,Synthetic Prime Brokerage,"1,103",-,-,-,4 (0.003%),NA
7703,NA,Terremark,"1,103",-,"£92,500",-,4 (0.003%),NA
7704,NA,Amazon CloudSearch,"1,103",78,"£50,000",-,4 (0.003%),1
7705,NA,PaintShop Pro,"1,104",83,"£41,000",26.15%,3 (0.002%),1
7706,NA,XMetaL,"1,104",79,"£42,500",-22.72%,3 (0.002%),3
7707,NA,NASTRAN,"1,104",76,"£37,500",-6.25%,3 (0.002%),1
7708,NA,Abaqus,"1,104",72,"£31,500",-21.25%,3 (0.002%),2
7709,NA,Siemens NX,"1,104",72,"£40,000",-,3 (0.002%),19
7710,NA,McKesson,"1,104",-,-,-,3 (0.002%),NA
7711,NA,StatPro,"1,104",79,"£85,000",3.03%,3 (0.002%),1
7712,NA,QNX,"1,104",79,"£45,000",-,3 (0.002%),12
7713,NA,Anite,"1,104",-,"£50,000",-,3 (0.002%),NA
7714,NA,Minitab,"1,104",80,"£35,625",31.94%,3 (0.002%),4
7715,NA,Laserfiche,"1,104",-,-,-,3 (0.002%),NA
7716,NA,Luciad,"1,104",-,-,-,3 (0.002%),1
7717,NA,GigaSpaces,"1,104",80,"£80,000",-40.74%,3 (0.002%),NA
7718,NA,Tandberg,"1,104",66,"£90,000",164.70%,3 (0.002%),8
7719,NA,TippingPoint,"1,104",65,"£39,500",-43.57%,3 (0.002%),4
7720,NA,XMPie,"1,104",79,"£47,750",112.22%,3 (0.002%),NA
7721,NA,NGA Human Resources,"1,104",74,"£54,250",-,3 (0.002%),8
7722,NA,Allen-Bradley,"1,104",75,"£60,000",130.76%,3 (0.002%),34
7723,NA,Kony,"1,104",81,"£32,500",-27.77%,3 (0.002%),NA
7724,NA,Vyatta,"1,104",75,"£47,500",18.75%,3 (0.002%),3
7725,NA,Roku,"1,104",-,-,-,3 (0.002%),2
7726,NA,SevOne,"1,104",78,"£18,250",-73.92%,3 (0.002%),NA
7727,NA,Platfora,"1,104",82,-,-,3 (0.002%),NA
7728,NA,Ingenico,"1,104",75,-,-,3 (0.002%),NA
7729,NA,JNBridge,"1,104",-,"£50,000",-,3 (0.002%),NA
7730,NA,Equitrac,"1,104",58,"£31,000",-8.82%,3 (0.002%),1
7731,NA,Sonatype,"1,104",71,"£72,500",-9.37%,3 (0.002%),3
7732,NA,Telstra,"1,104",-,"£40,000",-,3 (0.002%),2
7733,NA,Usabilla,"1,104",-,-,-,3 (0.002%),NA
7734,NA,Signiant,"1,104",81,"£62,500",-7.40%,3 (0.002%),NA
7735,NA,Logi,"1,104",78,"£34,000",5.42%,3 (0.002%),NA
7736,NA,Cybereason,"1,104",-,"£50,000",-,3 (0.002%),NA
7737,NA,Recurly,"1,104",-,"£65,000",-,3 (0.002%),1
7738,NA,Screaming Frog,"1,104",71,"£32,500",-7.14%,3 (0.002%),4
7739,NA,Netlify,"1,104",82,"£65,000",-7.14%,3 (0.002%),2
7740,NA,Cognos Powerplay,"1,104",-,"£52,500",-,3 (0.002%),NA
7741,NA,NuoDB,"1,104",-,-,-,3 (0.002%),NA
7742,NA,DBAmp,"1,104",-,"£42,500",-,3 (0.002%),NA
7743,NA,SSADM,"1,104",54,"£62,500",4.16%,3 (0.002%),NA
7744,NA,Yourdon,"1,104",83,"£55,000",10.00%,3 (0.002%),3
7745,NA,Usability Engineering,"1,104",82,"£52,500",-2.32%,3 (0.002%),1
7746,NA,Interactive Advertising,"1,104",-,"£67,500",-,3 (0.002%),NA
7747,NA,MSF,"1,104",81,"£47,500",-26.92%,3 (0.002%),NA
7748,NA,Web Marketing,"1,104",62,"£30,000",-4.76%,3 (0.002%),4
7749,NA,Behavioural Targeting,"1,104",78,-,-,3 (0.002%),NA
7750,NA,Mobile Transformation,"1,104",83,"£82,500",-,3 (0.002%),NA
7751,NA,Hidden Markov Model,"1,104",71,"£85,000",41.66%,3 (0.002%),2
7752,NA,Sociology,"1,104",78,"£60,000",87.50%,3 (0.002%),2
7753,NA,Network Packet Capture,"1,104",45,"£41,250",-8.33%,3 (0.002%),2
7754,NA,Microscopy,"1,104",73,"£38,500",7.31%,3 (0.002%),24
7755,NA,Resource Levelling,"1,104",79,"£47,500",-9.52%,3 (0.002%),1
7756,NA,Customer-Centric Development,"1,104",68,"£50,000",-9.09%,3 (0.002%),3
7757,NA,Assortment Planning,"1,104",74,"£62,500",31.57%,3 (0.002%),1
7758,NA,Graph Visualisation,"1,104",-,"£55,000",-,3 (0.002%),2
7759,NA,SAFe Practitioner,"1,104",74,"£60,000",-27.27%,3 (0.002%),NA
7760,NA,Post-Merger Integration,"1,104",82,"£55,000",-,3 (0.002%),NA
7761,NA,Collaborative Filtering,"1,104",62,"£60,000",50.00%,3 (0.002%),1
7762,NA,MAXScript,"1,104",80,"£40,000",-23.80%,3 (0.002%),NA
7763,NA,Lingo,"1,104",65,"£40,000",-24.52%,3 (0.002%),3
7764,NA,IronPython,"1,104",-,"£33,750",-,3 (0.002%),3
7765,NA,PureScript,"1,104",83,"£75,000",7.14%,3 (0.002%),NA
7766,NA,Gremlin,"1,104",79,"£70,000",7.69%,3 (0.002%),1
7767,NA,INAP,"1,104",83,-,-,3 (0.002%),NA
7768,NA,QSIG,"1,104",81,-,-,3 (0.002%),NA
7769,NA,SHDSL,"1,104",82,"£42,500",-5.55%,3 (0.002%),1
7770,NA,MVNO,"1,104",77,"£50,000",-,3 (0.002%),NA
7771,NA,GSNA,"1,104",80,"£42,500",-47.69%,3 (0.002%),1
7772,NA,GNVQ,"1,104",82,-,-,3 (0.002%),1
7773,NA,EMCSA,"1,104",77,"£67,500",12.50%,3 (0.002%),NA
7774,NA,EMCISA,"1,104",-,"£67,500",-,3 (0.002%),NA
7775,NA,HCISPP,"1,104",-,"£45,000",-,3 (0.002%),NA
7776,NA,CCSAM,"1,104",-,"£56,250",-,3 (0.002%),NA
7777,NA,FIPS 140-2,"1,104",77,"£65,000",-40.90%,3 (0.002%),NA
7778,NA,IASME,"1,104",-,"£43,750",-,3 (0.002%),1
7779,NA,JTS,"1,104",81,"£52,500",-50.00%,3 (0.002%),NA
7780,NA,XML-RPC,"1,104",77,"£47,500",-20.83%,3 (0.002%),5
7781,NA,V-Ray,"1,104",74,"£26,500",-23.74%,3 (0.002%),1
7782,NA,ASP.NET MVC 2,"1,104",65,"£51,250",28.12%,3 (0.002%),NA
7783,NA,PLINQ,"1,104",-,"£70,000",-,3 (0.002%),1
7784,NA,Fluent NHibernate,"1,104",80,"£43,000",-1.71%,3 (0.002%),3
7785,NA,Restlet,"1,104",80,"£47,500",2.15%,3 (0.002%),3
7786,NA,Caliburn.Micro,"1,104",82,"£53,750",4.87%,3 (0.002%),NA
7787,NA,Esper,"1,104",82,"£37,500",-48.27%,3 (0.002%),NA
7788,NA,Android NDK,"1,104",79,"£53,350",33.37%,3 (0.002%),7
7789,NA,Tkinter,"1,104",-,"£55,000",-,3 (0.002%),1
7790,NA,Mithril,"1,104",83,"£47,500",-38.70%,3 (0.002%),NA
7791,NA,PySide,"1,104",83,"£55,000",144.44%,3 (0.002%),NA
7792,NA,ONVIF,"1,104",-,"£45,000",-,3 (0.002%),NA
7793,NA,TCPDF,"1,104",-,"£42,500",-,3 (0.002%),2
7794,NA,WebVR,"1,104",77,"£62,500",4.16%,3 (0.002%),1
7795,NA,Next.js,"1,104",-,"£47,500",-,3 (0.002%),3
7796,NA,Content Management Server,"1,104",77,"£25,000",-33.33%,3 (0.002%),NA
7797,NA,Sonic ESB,"1,104",77,"£65,000",4.00%,3 (0.002%),NA
7798,NA,Facebook Platform,"1,104",79,"£55,000",29.41%,3 (0.002%),NA
7799,NA,WinCC,"1,104",82,"£57,500",76.92%,3 (0.002%),7
7800,NA,Traffic Server,"1,104",77,"£60,000",20.00%,3 (0.002%),NA
7801,NA,WinRunner,"1,104",79,"£72,500",77.91%,3 (0.002%),2
7802,NA,ChangeMan,"1,104",-,"£42,500",-,3 (0.002%),NA
7803,NA,WebScarab,"1,104",82,"£60,000",9.09%,3 (0.002%),2
7804,NA,Paros,"1,104",-,"£60,000",-,3 (0.002%),3
7805,NA,MorphX,"1,104",49,"£60,000",26.31%,3 (0.002%),11
7806,NA,FxCop,"1,104",76,"£45,000",-16.27%,3 (0.002%),1
7807,NA,Robotium,"1,104",81,"£47,500",5.55%,3 (0.002%),2
7808,NA,Phabricator,"1,104",42,"£52,500",81.03%,3 (0.002%),1
7809,NA,Serilog,"1,104",-,"£57,500",-,3 (0.002%),NA
7810,NA,Rational Team Concert,"1,104",70,"£45,000",11.80%,3 (0.002%),12
7811,NA,Mashup,"1,104",74,"£80,000",-7.78%,3 (0.002%),1
7812,NA,TRADACOMS,"1,104",66,-,-,3 (0.002%),NA
7813,NA,HP Superdome,"1,104",-,"£50,000",-,3 (0.002%),1
7814,NA,HoloLens,"1,104",52,"£44,000",-7.36%,3 (0.002%),8
7815,NA,HTC Vive,"1,104",59,"£26,500",-32.91%,3 (0.002%),1
7816,NA,Litecoin,"1,104",-,"£140,000",-,3 (0.002%),1
7817,NA,Exchequer,"1,104",83,"£40,000",-20.00%,3 (0.002%),1
7818,NA,PolarLake,"1,104",-,"£90,000",-,3 (0.002%),NA
7819,NA,SAP SM,"1,104",79,-,-,3 (0.002%),NA
7820,NA,VisionPLUS,"1,104",81,"£48,500",-30.71%,3 (0.002%),NA
7821,NA,Bankmaster,"1,104",-,"£46,000",-,3 (0.002%),NA
7822,NA,SunGard GMI,"1,104",-,"£70,000",-,3 (0.002%),NA
7823,NA,StreamServe,"1,104",82,"£45,000",33.33%,3 (0.002%),NA
7824,NA,CA PPM,"1,104",65,"£57,500",-2.54%,3 (0.002%),NA
7825,NA,SAP FI-AP,"1,104",61,"£75,000",46.34%,3 (0.002%),NA
7826,NA,Rolfe and Nolan,"1,104",77,"£70,000",33.33%,3 (0.002%),NA
7827,NA,Servitor,"1,104",-,"£32,500",-,3 (0.002%),NA
7828,NA,Tercero,"1,104",-,"£45,000",-,3 (0.002%),NA
7829,NA,SAP POS DM,"1,104",67,"£62,500",31.57%,3 (0.002%),2
7830,NA,Oracle CRM On Demand,"1,104",83,"£79,000",110.66%,3 (0.002%),NA
7831,NA,Quorum,"1,104",81,"£60,000",-20.00%,3 (0.002%),1
7832,NA,NetIQ eDirectory,"1,104",82,"£45,000",-10.89%,3 (0.002%),NA
7833,NA,Shibboleth,"1,104",77,"£45,000",38.99%,3 (0.002%),3
7834,NA,StorNext,"1,104",74,"£70,000",30.23%,3 (0.002%),NA
7835,NA,GFS2,"1,104",-,"£40,000",-,3 (0.002%),NA
7836,NA,Job Entry Subsystem,"1,104",80,"£40,000",-,3 (0.002%),5
7837,NA,flannel,"1,104",-,"£37,500",-,3 (0.002%),NA
7838,NA,Data Model Manager,"1,104",82,"£80,000",4.91%,3 (0.002%),2
7839,NA,Data Model Consultant,"1,104",78,"£42,500",-,3 (0.002%),NA
7840,NA,Test Coordinator,"1,104",67,"£81,750",133.57%,3 (0.002%),4
7841,NA,Murex Developer,"1,104",75,"£90,000",28.57%,3 (0.002%),1
7842,NA,Storage Administrator,"1,104",75,"£50,000",-13.04%,3 (0.002%),NA
7843,NA,Senior Perl Developer,"1,104",73,"£55,000",10.00%,3 (0.002%),2
7844,NA,Remedy Administrator,"1,104",80,"£44,000",46.66%,3 (0.002%),NA
7845,NA,Oracle Reports Developer,"1,104",80,"£47,500",5.55%,3 (0.002%),NA
7846,NA,Senior IT Programme Manager,"1,104",72,"£82,500",-20.48%,3 (0.002%),NA
7847,NA,Senior Server Analyst,"1,104",79,"£38,750",-29.54%,3 (0.002%),2
7848,NA,Lead Technical Architect,"1,104",80,"£57,500",-24.59%,3 (0.002%),1
7849,NA,Senior Oracle Financials Consultant,"1,104",-,"£75,000",-,3 (0.002%),NA
7850,NA,UAT Tester,"1,104",70,"£50,000",81.81%,3 (0.002%),3
7851,NA,Senior .NET Solutions Architect,"1,104",-,"£92,500",-,3 (0.002%),NA
7852,NA,E-Commerce Support Analyst,"1,104",78,"£45,000",-,3 (0.002%),NA
7853,NA,DSP Software Engineer,"1,104",77,"£40,000",-11.11%,3 (0.002%),3
7854,NA,Senior Network Manager,"1,104",49,"£55,000",-,3 (0.002%),NA
7855,NA,Senior Network Security Specialist,"1,104",59,"£52,000",-9.56%,3 (0.002%),NA
7856,NA,Senior Quality Manager,"1,104",79,"£52,500",-,3 (0.002%),7
7857,NA,Siebel Support Analyst,"1,104",-,"£52,500",-,3 (0.002%),NA
7858,NA,Senior Data Warehouse Consultant,"1,104",-,"£52,500",-,3 (0.002%),1
7859,NA,Senior COBOL Programmer,"1,104",-,"£50,000",-,3 (0.002%),1
7860,NA,Senior ASP Developer,"1,104",83,"£67,500",28.57%,3 (0.002%),NA
7861,NA,Senior .NET Analyst Programmer,"1,104",75,"£41,500",-36.15%,3 (0.002%),NA
7862,NA,Senior GIS Analyst,"1,104",-,"£45,000",-,3 (0.002%),1
7863,NA,Senior GIS Consultant,"1,104",-,"£50,000",-,3 (0.002%),NA
7864,NA,Senior Solaris Administrator,"1,104",-,"£66,500",-,3 (0.002%),NA
7865,NA,Customer Service Engineer,"1,104",81,"£22,000",-,3 (0.002%),2
7866,NA,UML Business Analyst,"1,104",65,"£47,500",-11.62%,3 (0.002%),NA
7867,NA,Senior SAP Support Analyst,"1,104",-,"£64,250",-,3 (0.002%),NA
7868,NA,Senior Citrix Specialist,"1,104",73,"£55,000",-,3 (0.002%),NA
7869,NA,SAP Logistics Consultant,"1,104",23,"£57,500",-28.12%,3 (0.002%),10
7870,NA,Senior C Programmer,"1,104",83,"£50,000",-16.66%,3 (0.002%),NA
7871,NA,Excel Specialist,"1,104",77,"£27,500",-38.88%,3 (0.002%),3
7872,NA,Fidessa Analyst,"1,104",80,"£52,500",-44.73%,3 (0.002%),NA
7873,NA,SAP Basis Specialist,"1,104",-,-,-,3 (0.002%),NA
7874,NA,GSM Engineer,"1,104",81,"£37,500",-31.81%,3 (0.002%),NA
7875,NA,Senior Cognos Consultant,"1,104",-,"£67,500",-,3 (0.002%),NA
7876,NA,Cognos Administrator,"1,104",-,-,-,3 (0.002%),NA
7877,NA,SAP BW Architect,"1,104",75,"£82,500",3.12%,3 (0.002%),NA
7878,NA,ETL Specialist,"1,104",75,"£26,000",-60.60%,3 (0.002%),1
7879,NA,Maximo Consultant,"1,104",-,"£58,000",-,3 (0.002%),1
7880,NA,Mobile Games Developer,"1,104",73,"£62,500",4.16%,3 (0.002%),1
7881,NA,Sun Engineer,"1,104",79,"£30,000",-,3 (0.002%),NA
7882,NA,Remedy Specialist,"1,104",-,"£44,000",-,3 (0.002%),1
7883,NA,SAP Retail Consultant,"1,104",44,"£62,500",-3.84%,3 (0.002%),2
7884,NA,Process Designer,"1,104",-,"£38,500",-,3 (0.002%),NA
7885,NA,Ethical Hacker,"1,104",64,-,-,3 (0.002%),NA
7886,NA,Hardware Architect,"1,104",59,"£52,500",-19.23%,3 (0.002%),1
